[2026-06-07 09:22:32] --- NEW SESSION STARTED ---
[2026-06-07 09:22:57] 192.168.29.46:5351 -> 52.105.246.53:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (143 Packets)
[2026-06-07 09:22:57] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (144 Packets)
[2026-06-07 09:22:57] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (145 Packets)
[2026-06-07 09:22:58] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (146 Packets)
[2026-06-07 09:22:58] 192.168.29.46:5351 -> 52.105.246.53:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (147 Packets)
[2026-06-07 09:22:58] 192.168.29.46:5351 -> 52.105.246.53:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (148 Packets)
[2026-06-07 09:22:58] 192.168.29.46:5351 -> 52.105.246.53:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (149 Packets)
[2026-06-07 09:22:58] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (150 Packets)
[2026-06-07 09:22:58] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (151 Packets)
[2026-06-07 09:22:59] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (152 Packets)
[2026-06-07 09:22:59] 192.168.29.46 -> 224.0.0.22 | Protocol: IGMP (Router) | Status: ALERT: Potential Flood Detected (153 Packets)
[2026-06-07 09:22:59] 192.168.29.46:5351 -> 52.105.246.53:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (154 Packets)
[2026-06-07 09:22:59] 192.168.29.46:5351 -> 52.105.246.53:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (155 Packets)
[2026-06-07 09:22:59] 192.168.29.46:5351 -> 52.105.246.53:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (156 Packets)
[2026-06-07 09:22:59] 192.168.29.46 -> 224.0.0.22 | Protocol: IGMP (Router) | Status: ALERT: Potential Flood Detected (157 Packets)
[2026-06-07 09:23:00] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (158 Packets)
[2026-06-07 09:23:00] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (159 Packets)
[2026-06-07 09:23:01] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (160 Packets)
[2026-06-07 09:23:01] 192.168.29.46:5351 -> 52.105.246.53:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (161 Packets)
[2026-06-07 09:23:01] 192.168.29.46:5351 -> 52.105.246.53:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (162 Packets)
[2026-06-07 09:23:01] 192.168.29.46:5351 -> 52.105.246.53:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (163 Packets)
[2026-06-07 09:23:02] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (164 Packets)
